(storm) D:\Zhiyu\GNN-UDS\surrogate>python maxred.py --env chaohu --act rand --pop_size 64 --processes 8 --rain_num 100 --rain_suffix chaohu_testall --result_dir maxred_all100 --termination n_gen 100
MaxRed configs: Namespace(act='rand', crossover=[1.0, 3.0], directed=False, env='chaohu', length=0, mutation=[1.0, 3.0], order=1, pop_size=64, processes=8, rain_dir='./envs/config/', rain_num=100, rain_suffix='chaohu_testall', result_dir='./results/chaohu/maxred_all100', sampling=0.4, setting_duration=10, termination=['n_gen', 100])
Runoff time: 46.26052403450012 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
    44 |     2816 |  2.229028E+04 |  2.207184E+04
    45 |     2880 |  2.213831E+04 |  2.193770E+04
    46 |     2944 |  2.201797E+04 |  2.183536E+04
    47 |     3008 |  2.190159E+04 |  2.160802E+04
    48 |     3072 |  2.180066E+04 |  2.151874E+04
    49 |     3136 |  2.168273E+04 |  2.151874E+04
    50 |     3200 |  2.157027E+04 |  2.151478E+04
    51 |     3264 |  2.153858E+04 |  2.148685E+04
    52 |     3328 |  2.152406E+04 |  2.148435E+04
    53 |     3392 |  2.151617E+04 |  2.146538E+04
    54 |     3456 |  2.150042E+04 |  2.143818E+04
    55 |     3520 |  2.148124E+04 |  2.143818E+04
    56 |     3584 |  2.146547E+04 |  2.143818E+04
    57 |     3648 |  2.146107E+04 |  2.143818E+04
    58 |     3712 |  2.145611E+04 |  2.143818E+04
    59 |     3776 |  2.144981E+04 |  2.143573E+04
    60 |     3840 |  2.144382E+04 |  2.142693E+04
    61 |     3904 |  2.143814E+04 |  2.142518E+04
    62 |     3968 |  2.143491E+04 |  2.141015E+04
    63 |     4032 |  2.143166E+04 |  2.141015E+04
    64 |     4096 |  2.142740E+04 |  2.141015E+04
    65 |     4160 |  2.142241E+04 |  2.140579E+04
    66 |     4224 |  2.141821E+04 |  2.140579E+04
    67 |     4288 |  2.141530E+04 |  2.140579E+04
    68 |     4352 |  2.141103E+04 |  2.133590E+04
    69 |     4416 |  2.140181E+04 |  2.132557E+04
    70 |     4480 |  2.138680E+04 |  2.131712E+04
    71 |     4544 |  2.136334E+04 |  2.130640E+04
    72 |     4608 |  2.133980E+04 |  2.129947E+04
    73 |     4672 |  2.132712E+04 |  2.128798E+04
    74 |     4736 |  2.131955E+04 |  2.128798E+04
    75 |     4800 |  2.131215E+04 |  2.128679E+04
    76 |     4864 |  2.130615E+04 |  2.127607E+04
    77 |     4928 |  2.130255E+04 |  2.127607E+04
    78 |     4992 |  2.130018E+04 |  2.127607E+04
    79 |     5056 |  2.129673E+04 |  2.127607E+04
    80 |     5120 |  2.129439E+04 |  2.127607E+04
    81 |     5184 |  2.129104E+04 |  2.127485E+04
    82 |     5248 |  2.128702E+04 |  2.127042E+04
    83 |     5312 |  2.128446E+04 |  2.126458E+04
    84 |     5376 |  2.128249E+04 |  2.126332E+04
    85 |     5440 |  2.128054E+04 |  2.125261E+04
    86 |     5504 |  2.127797E+04 |  2.125261E+04
    87 |     5568 |  2.127658E+04 |  2.125261E+04
    88 |     5632 |  2.127547E+04 |  2.125261E+04
    89 |     5696 |  2.127361E+04 |  2.125261E+04
    90 |     5760 |  2.127195E+04 |  2.125261E+04
    91 |     5824 |  2.127129E+04 |  2.125261E+04
    92 |     5888 |  2.127083E+04 |  2.125261E+04
    93 |     5952 |  2.127056E+04 |  2.125261E+04
    94 |     6016 |  2.126945E+04 |  2.125261E+04
    95 |     6080 |  2.126843E+04 |  2.124986E+04
    96 |     6144 |  2.126830E+04 |  2.124986E+04
    97 |     6208 |  2.126757E+04 |  2.124986E+04
    98 |     6272 |  2.126655E+04 |  2.124986E+04
    99 |     6336 |  2.126597E+04 |  2.124986E+04
   100 |     6400 |  2.126497E+04 |  2.124986E+04
Best solution found: [0 2 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 2 0 0 1 0 0 0 1 0 0 0 2 0 0 0 0 0 0 0 2
 0 0 0 0 1 1 0 2 0 0 2 2 1 0 1 1 1 0 2 2 1 1 2 1 1 0 2 0 1 1 0 2 1 1 0 0 0
 0 1 0 1 0 0 0 0 1 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0
 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
Function value: [21249.86381681]
Runoff time: 45.8514723777771 s
Minimizing
=================================================
n_gen  |  n_eval  |     f_avg     |     f_min
=================================================
     1 |       64 |  9.014850E+04 |  5.565278E+04
     2 |      128 |  8.739748E+04 |  5.565278E+04
     3 |      192 |  8.565955E+04 |  5.565278E+04
     4 |      256 |  8.478435E+04 |  5.565278E+04
     5 |      320 |  8.341229E+04 |  5.565278E+04
     6 |      384 |  8.255939E+04 |  5.565278E+04
     7 |      448 |  8.236321E+04 |  5.565278E+04
     8 |      512 |  8.150943E+04 |  5.565278E+04
     9 |      576 |  8.108017E+04 |  5.565278E+04
    10 |      640 |  8.097157E+04 |  5.565278E+04
    11 |      704 |  7.928522E+04 |  5.565278E+04
    12 |      768 |  7.896268E+04 |  5.565278E+04
    13 |      832 |  7.857706E+04 |  5.565278E+04
    14 |      896 |  7.817720E+04 |  5.565278E+04
    15 |      960 |  7.765858E+04 |  5.565278E+04
    16 |     1024 |  7.732789E+04 |  5.565278E+04
    17 |     1088 |  7.710597E+04 |  5.565278E+04
    18 |     1152 |  7.668247E+04 |  5.565278E+04
    19 |     1216 |  7.606979E+04 |  5.565278E+04
    20 |     1280 |  7.552617E+04 |  5.565278E+04
    21 |     1344 |  7.502342E+04 |  5.565278E+04
    22 |     1408 |  7.384662E+04 |  5.565278E+04
    23 |     1472 |  7.268406E+04 |  5.565278E+04
    24 |     1536 |  7.174413E+04 |  5.565278E+04
    25 |     1600 |  7.018735E+04 |  5.565278E+04
    26 |     1664 |  6.984833E+04 |  5.565278E+04
    27 |     1728 |  6.919320E+04 |  5.565278E+04
    28 |     1792 |  6.840054E+04 |  5.565278E+04
    29 |     1856 |  6.744394E+04 |  5.565278E+04
    30 |     1920 |  6.654232E+04 |  5.565278E+04
    31 |     1984 |  6.586211E+04 |  5.565278E+04
    32 |     2048 |  6.559645E+04 |  5.565278E+04
    33 |     2112 |  6.512146E+04 |  5.565278E+04
    34 |     2176 |  6.455490E+04 |  5.565278E+04
    35 |     2240 |  6.361222E+04 |  5.565278E+04
    36 |     2304 |  6.113454E+04 |  5.565278E+04
    37 |     2368 |  5.867397E+04 |  5.565278E+04
